Governorate,hotels,cafes,restaurants,guest_houses,tourism_index
Akkar,8,360,147,103,2.9791666666666665
Baalbek-Hermel,28,156,246,91,2.9054054054054053
Bekaa,12,72,79,15,4.413793103448276
Beqaa,3,22,23,4,1.8461538461538463
Keserwan-Jbeil,58,151,265,77,2.6885245901639343
Mount Lebanon,98,555,786,117,3.003861003861004
Nabatieh,33,246,255,31,3.5338983050847457
North,86,184,377,111,3.312977099236641
South,36,338,261,48,2.698717948717949
